reference,name,url
jens-kandt,Dr Jens Kandt,https://profiles.ucl.ac.uk/37018-jens-kandt
andrew-maclachlan,Dr Andrew MacLachlan,https://profiles.ucl.ac.uk/72290-andrew-maclachlan
huanfa-chen,Dr Huanfa Chen,https://profiles.ucl.ac.uk/45776-huanfa-chen
jon-reades,Professor Jon Reades,https://profiles.ucl.ac.uk/23068-jon-reades
neave-oclery,Professor Neave O'Clery,https://profiles.ucl.ac.uk/72077-neave-oclery
elsa-arcaute,Professor Elsa Arcaute,https://profiles.ucl.ac.uk/31566-elsa-arcaute
thomas-evans,Dr Thomas Evans,https://profiles.ucl.ac.uk/33505-thomas-evans
max-nathan,Professor Max Nathan,https://profiles.ucl.ac.uk/71224-max-nathan
ollie-ballinger,Dr Ollie Ballinger,https://profiles.ucl.ac.uk/86776-ollie-ballinger
duncan-hay,Dr Duncan Hay,https://profiles.ucl.ac.uk/56282-duncan-hay
duncan-smith,Dr Duncan Smith,https://profiles.ucl.ac.uk/3886-duncan-smith
